date_only,count
2010-02-07,1
2010-04-01,1
2010-04-03,1
2010-04-04,2
2010-04-24,1
2010-05-01,1
2010-05-06,1
2010-05-09,1
2010-05-17,1
2010-05-22,1
2010-05-29,2
2010-07-08,1
2010-07-09,1
2010-07-11,1
2010-07-24,1
2010-08-09,1
2010-08-11,1
2010-08-17,1
2010-08-20,1
2010-08-27,1
2010-09-11,1
2010-09-12,1
2010-09-15,1
2010-09-19,1
2010-09-24,1
2010-10-03,2
2010-10-04,1
2010-10-08,1
2010-10-09,1
2010-10-23,2
2010-10-24,1
2010-11-14,1
2010-11-16,1
2010-12-24,1
2011-02-13,2
2011-02-18,1
2011-03-16,1
2011-04-24,1
2011-05-03,1
2011-05-21,1
2011-05-26,1
2011-05-27,2
2011-05-29,2
2011-06-04,1
2011-06-15,1
2011-07-16,1
2011-07-24,1
2011-07-30,1
2011-07-31,1
2011-08-10,2
2011-08-18,1
2011-09-01,2
2011-09-02,2
2011-09-09,1
2011-09-26,1
2011-10-19,1
2011-10-23,1
2011-11-05,2
2011-11-06,1
2011-12-04,1
2011-12-09,1
2011-12-24,2
2011-12-30,1
2012-01-07,1
2012-01-12,3
2012-01-16,1
2012-01-22,1
2012-01-31,1
2012-02-02,1
2012-02-03,1
2012-03-04,1
2012-05-13,2
2012-05-20,1
2012-05-24,1
2012-06-09,1
2012-07-12,1
2012-07-20,1
2012-08-21,1
2012-08-26,1
2012-09-06,1
2012-09-09,1
2012-09-13,1
2012-09-29,1
2012-10-11,1
2012-10-13,1
2012-11-03,1
2012-11-28,1
2012-12-06,1
2012-12-12,1
2012-12-13,1
2012-12-15,1
2012-12-16,2
2012-12-20,1
2013-01-10,2
2013-01-20,1
2013-02-09,1
2013-02-14,1
2013-03-07,1
2013-03-27,1
2013-04-21,1
2013-04-28,1
2013-04-30,1
2013-05-04,2
2013-05-12,2
2013-05-18,1
2013-05-23,1
2013-05-30,1
2013-05-31,1
2013-06-01,1
2013-06-08,1
2013-06-09,1
2013-07-20,1
2013-07-26,2
2013-08-01,1
2013-08-02,1
2013-08-03,2
2013-08-06,1
2013-08-07,1
2013-08-31,1
2013-10-18,2
2013-11-02,1
2014-01-12,1
2014-03-09,1
2014-04-21,1
2014-05-17,3
2014-05-18,1
2014-05-29,1
2014-06-04,1
2014-06-08,3
2014-06-15,1
2014-08-09,2
2014-08-13,1
2014-08-16,1
2014-08-20,1
2014-08-23,1
2014-08-27,1
2014-08-31,1
2014-09-04,1
2014-09-06,2
2014-09-07,2
2014-09-10,1
2014-09-11,1
2014-09-18,2
2014-09-27,5
2014-09-28,1
2014-09-29,1
2014-10-05,1
2014-10-06,1
2014-10-07,1
2014-10-10,1
2014-10-11,1
2014-10-12,1
2014-10-13,1
2014-10-16,1
2014-10-29,2
2014-10-30,1
2014-11-09,1
2014-11-10,1
2014-11-12,1
2014-11-14,1
2014-11-18,1
2014-11-19,2
2014-11-24,1
2014-11-27,1
2014-11-30,1
2014-12-04,1
2014-12-06,1
2014-12-30,2
2014-12-31,1
2015-01-02,2
2015-01-03,1
2015-01-04,1
2015-01-05,1
2015-01-10,1
2015-01-11,1
2015-01-14,2
2015-01-19,1
2015-01-20,1
2015-01-21,1
2015-01-22,1
2015-01-23,1
2015-01-24,2
2015-01-25,1
2015-01-29,1
2015-02-01,1
2015-02-06,1
2015-02-07,1
2015-02-08,2
2015-02-10,2
2015-02-11,1
2015-02-12,1
2015-02-14,1
2015-02-15,1
2015-02-20,1
2015-02-22,5
2015-02-23,2
2015-02-25,1
2015-02-28,3
2015-03-01,2
2015-03-02,1
2015-03-03,1
2015-03-04,2
2015-03-06,1
2015-03-08,2
2015-03-18,1
2015-03-19,1
2015-03-21,1
2015-03-22,2
2015-03-26,1
2015-03-28,1
2015-03-30,1
2015-03-31,1
2015-04-03,2
2015-04-04,6
2015-04-05,3
2015-04-07,2
2015-04-08,1
2015-04-10,1
2015-04-12,1
2015-04-14,1
2015-04-15,2
2015-04-16,2
2015-04-17,1
2015-04-19,3
2015-04-21,1
2015-04-22,1
2015-04-23,1
2015-04-25,2
2015-04-26,1
2015-04-30,1
2015-05-01,1
2015-05-02,2
2015-05-03,1
2015-05-04,5
2015-05-06,4
2015-05-08,7
2015-05-09,2
2015-05-10,6
2015-05-11,12
2015-05-19,3
